Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union (27),EUU,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.1283078824687,20.5035764977253,20.8382724148965,21.1371858699609,21.4156594318247,21.6838668249587,22.0382576744381,22.3608558665757,22.6649660438177,22.9684218074516,23.2881049635884,23.6371265399333,23.9933759160906,24.3407235870446,24.6523439263132,24.9152682060673,25.2265460876555,25.4793598148745,25.7165253138352,26.0002436489098,26.3778109055938,26.8479316077696,27.4111765131506,28.0430669232359,28.7013135876225,29.3575503437954,29.9708424391963,30.5735052194179,31.1696232567652,31.7678055162667
European Union (27),EUU,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,28.9650149156616,28.6205534324025,28.2325115488266,27.8233385792218,27.4175175622109,27.0205348137188,26.6013858880693,26.2049612639988,25.8203945336102,25.4362954924664,25.0531717752865,24.686999103408,24.3324462877961,23.998040051973,23.696273446145,23.4331505830547,23.2969028158238,23.1919180415487,23.1159405042019,23.0578382390439,23.0080929953751,23.0952704039399,23.1245042235231,23.1315210924626,23.1559238043014,23.2134107607305,23.2269625248244,23.3080718406299,23.418195233054,23.4992648196746
European Union (27),EUU,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.5187443070989,47.6123580810314,47.0386681193296,47.1251573540719,47.0248504463862,46.6047850516255,46.5133508905593,46.3648175672196,46.2253487187358,46.1687770843041,45.7177930123408,45.1509854366759,44.7004291785379,44.244347281761,43.968056347201,43.9512308835554,43.5333790463458,42.9925518174411,43.2040444733542,42.9398758160848,42.544670870421,42.3054072653689,42.1280986494712,41.8380840416521,41.4065949470426,41.3647741440947,41.118261115112,41.0973307113471,40.9415465483986,
European Union (27),EUU,Agricultural land (sq. km),AG.LND.AGRI.K2,1762063.0,1729198.0,1822834.0,1885257.0,1881263.0,1864444.0,1860828.0,1854844.0,1849246.0,1846969.0,1828630.8,1805720.2,1787169.2,1769138.1,1757998.1,1757197.9,1740204.6,1718563.2,1726780.2,1716614.2,1701387.0,1691757.7,1682427.2,1671421.5,1654717.51,1652794.99,1643106.52,1642261.274,1637507.299,
European Union (27),EUU,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,8308447.0,8288677.0,8346057.0,8460115.0,8591277.0,8598727.0,8570588.0,8536634.0,8517635.0,8497994.0,8500717.5,7586884.0,7713934.0,5927009.0,5908292.0,5972621.0,,,,,,,,,,,,,,
European Union (27),EUU,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,798.932922285164,802.426153393381,759.748445421104,739.578079063843,755.587304853949,766.992240635734,762.688323037302,760.923558533103,766.49271809713,766.418438788845,772.117458763552,792.233466324498,813.728864783668,697.450666942807,698.132681901072,708.104871141159,,,,,,,,,,,,,,
European Union (27),EUU,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,49.9036837645553,49.3523443748835,48.6967183355259,47.5751535433285,47.472324892131,47.1177314222354,47.2728405683246,47.7694757667913,48.1212257595365,48.3900156180421,48.9045078566665,48.8001998930429,49.3218794911473,49.1555671008269,50.0661908002868,50.5247709091461,51.0100019567237,51.8374050256007,52.1616186378783,,,,,,,,,,,
European Union (27),EUU,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,300160.0,288010.0,275170.0,262570.0,257060.0,252270.0,251060.0,249950.0,245930.0,243980.0,243020.0,238100.0,235410.0,231650.0,229520.0,227120.0,225260.0,226360.0,225340.0,223680.0,221500.0,216850.0,216090.0,215750.0,217550.0,219300.0,219540.0,218570.0,213560.0,211910.0
European Union (27),EUU,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,63.3481871716963,63.2258046472688,61.3794836175395,61.1345949404451,60.31122400799,59.715854543201,59.3956741604648,60.166459944277,64.5716348705936,67.0101048267066,66.2451972857173,65.9251022942902,67.1269281074274,66.699470959648,66.7005894368968,66.5136731677294,68.2917835963401,68.7610769183625,71.1882321225699,,,,,,,,,,,
European Union (27),EUU,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,212230.0,201630.0,188650.0,185640.0,185690.0,183200.0,187700.0,187300.0,186570.0,185830.0,181750.0,180160.0,180210.0,178890.0,179970.0,175070.0,172730.0,176650.0,173560.0,168090.0,171260.0,169350.0,169650.0,172860.0,175540.0,177160.0,175560.0,175870.0,170630.0,172460.0
