country,c_code,indicator,i_code,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,19805683002.2132,21980384805.7144,22889600503.965,26258419343.9137,28518821097.8215,33339216566.7178,35312296534.1449,43140533617.6219,49929490244.5478,51184181904.4289,59667003515.1962,65039839448.5561,69058343420.1602,71831696727.8086,70097956089.2877,74711922906.3738,77406520332.6189,81873098235.4889
Afghanistan,AFG,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,,,,,,,,,,,,,,182162721300.0,221358563000.0,249791940700.0,308163225800.0,348048404600.0,485419056200.0,515046858600.0,611692107000.0,726231122700.0,850347275400.0,1028794220100.0,1138809791300.0,1176469485800.0,1222756495400.0,1222916881100.0,1285460326500.0,1327690394700.0,1469596303300.0
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,2.5699999332428,2.90000009536743,2.84999990463257,3.50999999046326,3.73000001907349,3.4794499874115,3.4620099067688,3.3199999332428,3.45445990562439,3.69521999359131,3.2558000087738,3.5119800567627,3.37331008911133,3.19979000091553,3.21377992630005
Afghanistan,AFG,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,,,,,,,,,,,,,,,,,,,,,,11.95215,12.21159,8.31733,11.17447,11.72219,10.24688,10.34081,10.25174,,
Afghanistan,AFG,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,13.2609,12.56712,8.53024,11.32094,12.03027,10.29234,11.98575,11.3072,,
Afghanistan,AFG,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,96.09478,,,58.22054,,,,,
Afghanistan,AFG,Industrial Processes,,All GHG,0.05,0.06,0.06,0.06,0.06,0.07,0.08,0.1,0.11,0.12,0.1,0.1,0.11,0.12,0.12,0.13,0.15,0.18,0.2,0.22,0.25,0.31,0.39,0.47,0.52,0.6,0.79,0.91,1.08,1.21
Afghanistan,AFG,Industrial Processes,,CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Industrial Processes,,CO2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.04,0.03,0.04,0.08,0.04,0.06,0.04
Afghanistan,AFG,Industrial Processes,,F-Gas,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.06,0.08,0.09,0.1,0.1,0.11,0.11,0.12,0.14,0.17,0.19,0.21,0.23,0.3,0.37,0.43,0.5,0.56,0.71,0.87,1.02,1.17
Afghanistan,AFG,Industrial Processes,,N2O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
